unique_id,ls_seat,ls_seat_number,ls_reservation,state,elected_representative,winning_party_full,winning_party,electors,votes,turnout_percentage,margin,margin_percentage,front,fron_full
S11_15,Alappuzha,"15",GEN,Kerala,K. C Venugopal,Indian National Congress,INC,"1400082","1058703",75.60%,"63513",6.00%,UDF,United Democratic Front
S11_9,Alathur,"9",SC,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),CPI(M),"1337496","992268",74.20%,"20111",2.00%,LDF,Left Democratic Front
S11_19,Attingal,"19",GEN,Kerala,Adv Adoor Prakash,Indian National Congress,INC,"1396807","985341",70.50%,"684",0.10%,UDF,United Democratic Front
S11_11,Chalakudy,"11",GEN,Kerala,Benny Behanan,Indian National Congress,INC,"1310529","951287",72.60%,"63754",6.70%,UDF,United Democratic Front
S11_12,Ernakulam,"12",GEN,Kerala,Hibi Eden,Indian National Congress,INC,"1324047","910502",68.80%,"250385",27.50%,UDF,United Democratic Front
S11_13,Idukki,"13",GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,INC,"1250157","840657",67.20%,"133727",15.90%,UDF,United Democratic Front
S11_2,Kannur,"2",GEN,Kerala,K. Sudhakaran,Indian National Congress,INC,"1358368","1063855",78.30%,"108982",10.20%,UDF,United Democratic Front
S11_1,Kasaragod,"1",GEN,Kerala,Rajmohan Unnithan,Indian National Congress,INC,"1452230","1112546",76.60%,"100649",9.00%,UDF,United Democratic Front
S11_18,Kollam,"18",GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,RSP,"1326648","915691",69.00%,"150302",16.40%,UDF,United Democratic Front
S11_14,Kottayam,"14",GEN,Kerala,Adv K Francis George,Kerala Congress,KEC,"1254823","836223",66.60%,"87266",10.40%,UDF,United Democratic Front
S11_5,Kozhikode,"5",GEN,Kerala,M. K. Raghavan,Indian National Congress,INC,"1429631","1090050",76.30%,"146176",13.40%,UDF,United Democratic Front
S11_6,Malappuram,"6",GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,IUML,"1479921","1085182",73.30%,"300118",27.70%,UDF,United Democratic Front
S11_16,Mavelikkara,"16",SC,Kerala,Kodikunnil Suresh,Indian National Congress,INC,"1331880","894971",67.20%,"10868",1.20%,UDF,United Democratic Front
S11_8,Palakkad,"8",GEN,Kerala,V K Sreekandan,Indian National Congress,INC,"1398143","1035836",74.10%,"75283",7.30%,UDF,United Democratic Front
S11_17,Pathanamthitta,"17",GEN,Kerala,Anto Antony,Indian National Congress,INC,"1429700","919569",64.30%,"66119",7.20%,UDF,United Democratic Front
S11_7,Ponnani,"7",GEN,Kerala,Dr. M.P Abdussamad Samadani,Indian Union Muslim League,IUML,"1470804","1026296",69.80%,"235760",23.00%,UDF,United Democratic Front
S11_20,Thiruvananthapuram,"20",GEN,Kerala,Shashi Tharoor,Indian National Congress,INC,"1430531","962983",67.30%,"16077",1.70%,UDF,United Democratic Front
S11_10,Thrissur,"10",GEN,Kerala,Suresh Gopi,Bharatiya Janta Party,BJP,"1483055","1090876",73.60%,"74686",6.80%,NDA,National Democratic Alliance
S11_3,Vadakara,"3",GEN,Kerala,Shafi Parambil,Indian National Congress,INC,"1421883","1122947",79.00%,"114506",10.20%,UDF,United Democratic Front
S11_4,Wayanad,"4",GEN,Kerala,Priyanka Gandhi,Indian National Congress,INC,"1462423","1084653",74.20%,"364422",33.60%,UDF,United Democratic Front
