state,district,Asmbly_Con,Prlmnt_Con,Area(sqkm),lac_code_unique_id,lac_code,elected_representative,winning_party,winning_party_full,winning_front,winning_front_full
KERALA,KASARAGOD,Manjeshwaram,KASARAGOD,378.647593341585,lac_1,1,AKM Ashraf,IUML,Indian Union Muslim League,UDF,United Democratic Front
KERALA,KASARAGOD,Kasaragod,KASARAGOD,276.585441358586,lac_2,2,Kallatra Mahin,IUML,Indian Union Muslim League,UDF,United Democratic Front
KERALA,KASARAGOD,Udma,KASARAGOD,460.272230413706,lac_3,3,Neelakandan,INC,Indian National Congress,UDF,United Democratic Front
KERALA,KASARAGOD,Kanhangad,KASARAGOD,529.29495558839,lac_4,4,Adv Govindan Pallikappil,CPI,Communist Party of India,LDF,Left Democratic Front
KERALA,KASARAGOD,Trikaripur,KASARAGOD,329.9546804163,lac_5,5,Sandeep Varier,INC,Indian National Congress,UDF,United Democratic Front
KERALA,KANNUR,Payyannur,KASARAGOD,372.96942756563,lac_6,6,V Kunhikrishnan,IND-UDF,Independent - United Democratic Front,UDF,United Democratic Front
KERALA,KANNUR,Irikkur,KANNUR,592.515528569804,lac_9,9,Adv Sajeev Joseph,INC,Indian National Congress,UDF,United Democratic Front
KERALA,KANNUR,Taliparamba,KANNUR,296.117459779923,lac_8,8,TK Govindan Master s/o Kunhikkannan Nambiar,IND,Independent,UDF,United Democratic Front
KERALA,KANNUR,Kalliasseri,KASARAGOD,209.036891935381,lac_7,7,M Vijin,CPI(M),Communist Party of India (Marxist),LDF,Left Democratic Front
KERALA,KANNUR,Peravoor,KANNUR,535.629867593399,lac_16,16,Adv Sunny Joseph,INC,Indian National Congress,UDF,United Democratic Front
KERALA,KANNUR,Mattannur,KANNUR,346.111869687876,lac_15,15,VK Sanoj,CPI(M),Communist Party of India (Marxist),LDF,Left Democratic Front
KERALA,KANNUR,Azhikode,KANNUR,79.4032273851357,lac_10,10,KV Sumesh,CPI(M),Communist Party of India (Marxist),LDF,Left Democratic Front
KERALA,WAYANAD,Mananthavady (ST),WAYANAD,747.316036030245,lac_17,17,Usha Vijayan,INC,Indian National Congress,UDF,United Democratic Front
KERALA,KANNUR,Kannur,KANNUR,85.0142822195439,lac_11,11,Adv TO Mohanan,INC,Indian National Congress,UDF,United Democratic Front
KERALA,KANNUR,Dharmadam,KANNUR,130.924972875874,lac_12,12,Pinarayi Vijayan,CPI(M),Communist Party of India (Marxist),LDF,Left Democratic Front
KERALA,KANNUR,Kuthuparamba,VADAKARA,241.121546541791,lac_14,14,PK Praveen,RJD,Rashtriya Janata Dal,LDF,Left Democratic Front
KERALA,WAYANAD,Sulthanbathery (ST),WAYANAD,764.51824653475,lac_18,18,IC Balakrishnan,INC,Indian National Congress,UDF,United Democratic Front
KERALA,KANNUR,Thalassery,VADAKARA,72.3014751437188,lac_13,13,Karayi Rajan,CPI(M),Communist Party of India (Marxist),LDF,Left Democratic Front
KERALA,KOZHIKODE,Nadapuram,VADAKARA,333.472963859108,lac_22,22,KM Abhijith,INC,Indian National Congress,UDF,United Democratic Front
