lsgi_code_ward_number,lsgi_code,lsgi_name,ward_number,ward_name,elected_representative,district,lsgi_type,winning_party,winning_front,votes,year
B04035_1,B04035,Ambalappuzha,1,Vadackal,K.F. Lalji,Alappuzha,Block Panchayat,CPI,LDF,2907,2025
B04035_2,B04035,Ambalappuzha,2,Block Office,Prem Bhasin,Alappuzha,Block Panchayat,CPI(M),LDF,2677,2025
B04035_3,B04035,Ambalappuzha,3,Aravukadu,Vishnu Prasad,Alappuzha,Block Panchayat,INC,UDF,2574,2025
B04035_4,B04035,Ambalappuzha,4,Vandanam,Seena Teacher,Alappuzha,Block Panchayat,INC,UDF,2529,2025
B04035_5,B04035,Ambalappuzha,5,Kakkazham,Lekhamol Sanil,Alappuzha,Block Panchayat,CPI(M),LDF,2442,2025
B04035_6,B04035,Ambalappuzha,6,Komana,A Omanakkuttan,Alappuzha,Block Panchayat,CPI(M),LDF,2699,2025
B04035_7,B04035,Ambalappuzha,7,Karumadi,Anilkumar Panchajanyam,Alappuzha,Block Panchayat,BJP,NDA,2087,2025
B04035_8,B04035,Ambalappuzha,8,Karoor,Arya Krishnan,Alappuzha,Block Panchayat,INC,UDF,3209,2025
B04035_9,B04035,Ambalappuzha,9,Thottapally,Simi Podiyan,Alappuzha,Block Panchayat,INC,UDF,2640,2025
B04035_10,B04035,Ambalappuzha,10,Purakkad,Maneesh M Purakkad,Alappuzha,Block Panchayat,INC,UDF,3148,2025
B04035_11,B04035,Ambalappuzha,11,Ambalappuzha,Siniya Shihab,Alappuzha,Block Panchayat,INC,UDF,3208,2025
B04035_12,B04035,Ambalappuzha,12,M C H,T Shajimon,Alappuzha,Block Panchayat,CPI(M),LDF,2066,2025
B04035_13,B04035,Ambalappuzha,13,Punnapra,Lekha Biju,Alappuzha,Block Panchayat,INC,UDF,4380,2025
B04035_14,B04035,Ambalappuzha,14,Poli Technique,Usha  Babu,Alappuzha,Block Panchayat,INC,UDF,3135,2025
