lsgi_code_ward_number,lsgi_code,lsgi_name,ward_number,ward_name,elected_representative,district,lsgi_type,winning_party,winning_front,votes,year,mayor/deputymayor/Councillor
C07003_1,C07003,Kochi,1,Fort Kochi,Shiny Mathew,Ernakulam,Municipal Corporation,INC,UDF,2071,2025,Councillor
C07003_2,C07003,Kochi,2,Kalvathy,Fousia Mohammed,Ernakulam,Municipal Corporation,IUML,UDF,2364,2025,Councillor
C07003_3,C07003,Kochi,3,Earavely,Raheena (Raheena Rafeeq),Ernakulam,Municipal Corporation,INC,UDF,2538,2025,Councillor
C07003_4,C07003,Kochi,4,Karippalam,Manaf KA,Ernakulam,Municipal Corporation,INC,UDF,2232,2025,Councillor
C07003_5,C07003,Kochi,5,Cheralayi,Praveetha Vijayakumar,Ernakulam,Municipal Corporation,BJP,NDA,2639,2025,Councillor
C07003_6,C07003,Kochi,6,Mattanchery,Sheeja Navas,Ernakulam,Municipal Corporation,IUML,UDF,2704,2025,Councillor
C07003_7,C07003,Kochi,7,Chakkamadam,Suhana Subair,Ernakulam,Municipal Corporation,CPI(M),LDF,1863,2025,Councillor
C07003_8,C07003,Kochi,8,Karuvelippady,Kavitha Harikumar,Ernakulam,Municipal Corporation,INC,UDF,1290,2025,Councillor
C07003_9,C07003,Kochi,9,Island North,Padmakumari T,Ernakulam,Municipal Corporation,BJP,NDA,223,2025,Councillor
C07003_10,C07003,Kochi,10,Ravipuram,S. Sasikala,Ernakulam,Municipal Corporation,IND,OTH,847,2025,Councillor
C07003_11,C07003,Kochi,11,Ernakulam South,K V P Krishnakumar,Ernakulam,Municipal Corporation,INC,UDF,1179,2025,Councillor
C07003_12,C07003,Kochi,12,Gandhi Nagar,Nirmala Teacher,Ernakulam,Municipal Corporation,INC,UDF,1518,2025,Councillor
C07003_13,C07003,Kochi,13,Kathrikadavu,Riya Lawrance,Ernakulam,Municipal Corporation,INC,UDF,2253,2025,Councillor
C07003_14,C07003,Kochi,14,Ernakulam Central,Sudha  Dileepkumar,Ernakulam,Municipal Corporation,BJP,NDA,1289,2025,Councillor
C07003_15,C07003,Kochi,15,Ernakulam North,Augustine Sebastine P M,Ernakulam,Municipal Corporation,INC,UDF,1394,2025,Councillor
C07003_16,C07003,Kochi,16,Kaloor South,Aristtottil. M. G,Ernakulam,Municipal Corporation,INC,UDF,1686,2025,Councillor
C07003_17,C07003,Kochi,17,Kaloor-North,Asharaf.T.K (Sharafu),Ernakulam,Municipal Corporation,IUML,UDF,1437,2025,Councillor
