winning_party,winning_party_full,front,front_full
CPI(M),Communist Party of India (Marxist),LDF,Left Democratic Front
CPI,Communist Party of India,LDF,Left Democratic Front
KC(M),Kerala Congress (Mani),LDF,Left Democratic Front
NCP,Nationalist Congress Party,LDF,Left Democratic Front
RJD, Rashtriya Janata Dal,LDF,Left Democratic Front
PDP,Peoples Democratic Party,LDF,Left Democratic Front
NSC,National Secular Conference,LDF,Left Democratic Front
KC(B),Kerala Congress (B),LDF,Left Democratic Front
RJD, Rashtriya Janata Dal,LDF,Left Democratic Front
INL,Indian National League,LDF,Left Democratic Front
ISJD,Indian Socialist Janata Dal,LDF,Left Democratic Front
JKC,Janadhipathya Kerala Congress,LDF,Left Democratic Front
CON(S),Congress (Secular),LDF,Left Democratic Front
JD(S),Janata Dal (Secular),LDF,Left Democratic Front
AIFB,All India Forward Bloc,LDF,Left Democratic Front
INC,Indian National Congress,UDF,United Democratic Front
IUML,Indian Union Muslim League,UDF,United Democratic Front
KC(J),Kerala Congress (Jacob),UDF,United Democratic Front
KC(Jacob),Kerala Congress (Jacob),UDF,United Democratic Front
INL,Indian National League,UDF,United Democratic Front
RMPI,Revolutionary Marxist Party of India,UDF,United Democratic Front
KEC,Kerala Congress,UDF,United Democratic Front
KDP,Kerala Democratic Party,UDF,United Democratic Front
JSS,Janathipathya Samrakshana Samiti,UDF,United Democratic Front
AITC,All India Trinamool Congress,UDF,United Democratic Front
CMPCC(CMJ),Communist Marxist Party (John),UDF,United Democratic Front
BNJD,Bharathiya National Janata Dal,UDF,United Democratic Front
RSP,Revolutionary Socialist Party,UDF,United Democratic Front
BJP,Bharatiya Janata Party,NDA,National Democratic Alliance
BDJS,Bharath Dharma Jana Sena,NDA,National Democratic Alliance
LJP, Lok Janshakti Party,NDA,National Democratic Alliance
BDJS, Bharath Dharma Jana Sena,NDA,National Democratic Alliance
T20,Twenty20,NDA,National Democratic Alliance
AAP, Aam Aadmi Party,IND,Independent
WPI, Welfare Party of India,IND,Independent
BSP, Bahujan Samaj Party,IND,Independent
SDPI,Social Democratic Party of India,IND,Independent
SP,Samajwadi Party,IND,Independent
